"","height","position","breathingBeltRespiration","sensorRespiration","percentError","deviation"
"63",1,"Back",10.1522846221924,4.51610956743344,-0.555163223304295,5.63617505475896
"64",1,"Back",11.029411315918,7.27333081761219,-0.340551312370128,3.75608049830581
"65",1,"Back",10.9649124145508,7.87326488124223,-0.281958251595868,3.09164753330857
"66",1,"Back",11.0456552505493,4.87693379074699,-0.558474922480995,6.16872145980231
"67",1,"Back",9.16730308532715,12.774758203154,0.393513237671918,-3.60745511782685
"68",1,"Back",7.80572414398193,4.64623999321018,-0.404765027881193,3.15948415077175
"69",1,"Back",8.22481155395508,10.3318500894277,0.256180767382981,-2.10703853547262
"70",1,"Back",9.19540214538574,7.82297924264211,-0.149250993164265,1.37242290274363
"71",1,"Back",9.67741966247559,7.13588976389435,-0.262624747838112,2.54152989858124
"72",1,"Back",9.61538410186768,7.24068675850087,-0.246968536899691,2.37469734336681
"73",1,"Back",7.70547914505005,9.06939694153412,0.177006227751618,-1.36391779648407
"74",1,"Back",10.1237344741821,8.89991823526411,-0.120885849193201,1.22381623891799
"75",1,"Back",8.64553356170654,8.29549608768195,-0.0404876658596297,0.350037474024589
"76",1,"Back",4.11522626876831,9.37332703206008,1.27771850680413,-5.25810076329177
"77",1,"Back",4.80769205093384,6.83498826965848,0.42167763601474,-2.02729621872464
"78",1,"Back",4.80769205093384,3.98353877738974,-0.171423890052196,0.8241532735441
"79",1,"Back",10.6951866149902,4.81679106553177,-0.549630012179438,5.87839554945843
"80",1,"Back",10.8205595016479,6.70944564649684,-0.379935423350795,4.11111385515106
"81",1,"Back",10.7296142578125,5.08188211736954,-0.526368609787692,5.64773214044296
"82",1,"Back",10.4895105361938,5.40915924233736,-0.484326821192163,5.08035129385644
"83",1,"Back",9.86031150817871,5.43257817852136,-0.449045988657126,4.42773332965735
"84",1,"Back",9.80392169952393,4.31097126615468,-0.560280936723106,5.49295043336925
"85",1,"Back",10.5115623474121,4.37182514369096,-0.584093686628108,6.13973720372114
"86",1,"Back",9.69305324554443,4.99462092181541,-0.484721604710954,4.69843232372902
"87",1,"Back",9.67741966247559,7.55849788218852,-0.218955243669264,2.11892178028707
"88",1,"Back",6.67655754089355,4.46381447518287,-0.33141975518937,2.21274306571068
"89",1,"Back",9.70088863372803,6.63221709845005,-0.316328910797804,3.06867153527798
"90",1,"Back",9.9009895324707,10.9778385503507,0.108761757029278,-1.07684901788
"91",1,"Back",10.3448276519775,6.30566641762127,-0.390452250172009,4.03916123435623
"92",1,"Back",10.0066709518433,10.9879438466965,0.0980618728821538,-0.981272894853198
"93",1,"Side",11.450382232666,5.33858608700441,-0.533763504263261,6.11179614566159
"94",1,"Side",7.17703342437744,7.42434906060229,0.0344593123092921,-0.24731563622485
"95",1,"Side",10.9090909957886,4.7035308335794,-0.568843010348417,6.2055601622092
"96",1,"Side",10.3092784881592,4.08764673871832,-0.603498271638193,6.22163174944088
"97",1,"Side",9.99167346954346,6.23862787447675,-0.375617318410846,3.75304559506671
"98",1,"Side",7.75193786621094,8.88613211580068,0.146311060429606,-1.13419424958974
"99",1,"Side",7.91556787490845,5.2401612562739,-0.337993010850847,2.67540661863455
"100",1,"Side",3.16122245788574,8.61944575194482,1.72661790391986,-5.45822329405908
"101",1,"Side",4.36681222915649,14.580686212248,2.33897714101265,-10.2138739830915
"102",1,"Side",3.76884436607361,5.82112666878292,0.544538883373256,-2.05228230270931
"103",1,"Side",4.62606048583984,7.8700136800546,0.701234496207811,-3.24395319421476
"104",1,"Side",9.27357006072998,6.84644892509448,-0.261724569905761,2.4271211356355
"105",1,"Side",9.70873832702637,6.45741450494422,-0.334886337705836,3.25132382208215
"106",1,"Side",8.83218860626221,5.40515888882298,-0.38801591204805,3.42702971743923
"107",1,"Side",6.98757791519165,10.5372500765993,0.507997507074709,-3.54967216140765
"108",1,"Side",6.59340620040894,10.6409185710876,0.613872746142597,-4.04751237067866
"109",1,"Side",11.5384616851807,8.0288115483764,-0.304169674655321,3.5096501368043
"110",1,"Side",4.9423394203186,7.55477298827179,0.528582386958924,-2.61243356795319
"111",1,"Side",5.8027081489563,6.42246548005738,0.106804842703067,-0.619757331101081
"112",1,"Side",2.764976978302,8.80432023195526,2.18422912778177,-6.03934325365326
"113",1,"Side",8.65800857543945,8.22932438262006,-0.0495130247428325,0.428684192819389
"114",1,"Side",8.08625316619873,9.44558126063519,0.168103578566965,-1.35932809443646
"115",1,"Side",6.63227701187134,8.69327349974278,0.310752473725448,-2.06099648787144
"116",1,"Side",6.42398262023926,6.12423824873134,-0.0466602089743443,0.29974437150792
"117",1,"Side",6.81044292449951,7.01763981940054,0.0304234096369374,-0.20719689490103
"118",1,"Side",4.64396286010742,7.17776718773604,0.545612530495132,-2.53380432762862
"119",1,"Side",6.62251663208008,5.83393181556144,-0.119076305931594,0.78858481651864
"120",1,"Side",7.2756667137146,4.68932364800537,-0.355478496676323,2.58634306570923
"121",1,"Side",7.3469386100769,6.97527176484798,-0.0505879884063751,0.37166684522892
"122",2,"Front",4.26742506027222,6.95959546041198,0.630865302170772,-2.69217040013976
"123",2,"Front",9.75081253051758,10.7569260545184,0.103182531799472,-1.00611352400082
"124",2,"Front",13.3630285263062,11.4177491971774,-0.145571741113877,1.9452793291288
"125",2,"Front",12,12.3536982287308,0.0294748523942333,-0.353698228730799
