"Data Set 1:Time(s)","Data Set 1:Force(N)","Data Set 1:Respiration Rate(bpm)","Data Set 2:Time(s)","Data Set 2:Force(N)","Data Set 2:Respiration Rate(bpm)","Data Set 3:Time(s)","Data Set 3:Force(N)","Data Set 3:Respiration Rate(bpm)","Data Set 4:Time(s)","Data Set 4:Force(N)","Data Set 4:Respiration Rate(bpm)"
,,,,,,194.09999999999999,3.39801025390625,,194.09999999999999,2.7337112426757812,
,,,,,,194.19999999999999,3.4848785400390625,,194.19999999999999,2.6570587158203125,
,,,,,,194.30000000000001,3.5053176879882812,,194.30000000000001,2.62384033203125,
,,,,,,194.40000000000001,3.4184494018554688,,194.40000000000001,2.5957412719726562,
,,,,,,194.5,3.3188018798828125,,194.5,2.5650787353515625,
,,,,,,194.59999999999999,3.2753677368164062,,194.59999999999999,2.5114212036132812,
,,,,,,194.69999999999999,3.2523727416992188,,194.69999999999999,2.4628753662109375,
,,,,,,194.80000000000001,3.23193359375,,194.80000000000001,2.4449920654296875,
,,,,,,194.90000000000001,3.2012710571289062,,194.90000000000001,2.4449920654296875,
,,,,,,195,3.150177001953125,,195,2.4271087646484375,
,,,,,,195.09999999999999,3.093963623046875,,195.09999999999999,2.3990020751953125,
,,,,,,195.19999999999999,3.0224227905273438,,195.19999999999999,2.3785629272460938,
,,,,,,195.30000000000001,2.945770263671875,,195.30000000000001,2.3657913208007812,
,,,,,,195.40000000000001,2.8946762084960938,,195.40000000000001,2.3606796264648438,
,,,,,,195.5,2.8691253662109375,,195.5,2.358123779296875,
,,,,,,195.59999999999999,2.8614578247070312,,195.59999999999999,2.3606796264648438,
,,,,,,195.69999999999999,2.8691253662109375,,195.69999999999999,2.3734512329101562,
,,,,,,195.80000000000001,2.8716812133789062,,195.80000000000001,2.40411376953125,
,,,,,,195.90000000000001,2.853790283203125,,195.90000000000001,2.4552154541015625,
,,,,,,196,2.8231353759765625,,196,2.5037612915039062,
,,,,,,196.09999999999999,2.7975845336914062,,196.09999999999999,2.5369720458984375,
,,,,,,196.19999999999999,2.782257080078125,,196.19999999999999,2.5804061889648438,
,,,,,,196.30000000000001,2.7694778442382812,,196.30000000000001,2.6672821044921875,
,,,,,,196.40000000000001,2.743927001953125,,196.40000000000001,2.7669219970703125,
,,,,,,196.5,2.7056045532226562,,196.5,2.8691253662109375,
,,,,,,196.59999999999999,2.6800537109375,,196.59999999999999,2.9764328002929688,
,,,,,,196.69999999999999,2.6723861694335938,,196.69999999999999,3.0709686279296875,
,,,,,,196.80000000000001,2.669830322265625,,196.80000000000001,3.1578369140625,
,,,,,,196.90000000000001,2.6596145629882812,,196.90000000000001,3.2396011352539062,
,,,,,,197,2.6493911743164062,,197,3.2855911254882812,
,,,,,,197.09999999999999,2.6596145629882812,,197.09999999999999,3.28814697265625,
,,,,,,197.19999999999999,2.6647262573242188,,197.19999999999999,3.2549285888671875,
,,,,,,197.30000000000001,2.644287109375,,197.30000000000001,3.2114944458007812,
,,,,,,197.40000000000001,2.6110687255859375,,197.40000000000001,3.1782760620117188,
,,,,,,197.5,2.58807373046875,,197.5,3.150177001953125,
