"Data Set 1:Time(s)","Data Set 1:Force(N)","Data Set 1:Respiration Rate(bpm)","Data Set 2:Time(s)","Data Set 2:Force(N)","Data Set 2:Respiration Rate(bpm)","Data Set 3:Time(s)","Data Set 3:Force(N)","Data Set 3:Respiration Rate(bpm)"
,,,,,,47.200000000000003,3.1655044555664062,
,,,,,,47.299999999999997,3.1578369140625,
,,,,,,47.399999999999999,3.1706161499023438,
,,,,,,47.5,3.1961669921875,
,,,,,,47.600000000000001,3.2268218994140625,
,,,,,,47.700000000000003,3.2625961303710938,
,,,,,,47.799999999999997,3.3034744262695312,
,,,,,,47.899999999999999,3.369903564453125,
,,,,,,48,3.4644393920898438,
,,,,,,48.100000000000001,3.5589752197265625,
,,,,,,48.200000000000003,3.6432876586914062,
,,,,,,48.299999999999997,3.7173843383789062,
,,,,,,48.399999999999999,3.7965927124023438,
,,,,,,48.5,3.8936767578125,
,,,,,,48.600000000000001,3.9728851318359375,
,,,,,,48.700000000000003,3.9907684326171875,
,,,,,,48.799999999999997,3.94989013671875,
,,,,,,48.899999999999999,3.8936767578125,
,,,,,,49,3.8349151611328125,
,,,,,,49.100000000000001,3.7531509399414062,
,,,,,,49.200000000000003,3.6586227416992188,
,,,,,,49.299999999999997,3.58197021484375,
,,,,,,49.399999999999999,3.5334243774414062,
,,,,,,49.5,3.4951019287109375,
,,,,,,49.600000000000001,3.47210693359375,
,,,,,,49.700000000000003,3.4567718505859375,
,,,,,,49.799999999999997,3.4465560913085938,
,,,,,,49.899999999999999,3.4388885498046875,
,,,,,,50,3.4005661010742188,12.569831848144531
,,,,,,50.100000000000001,3.3392410278320312,
,,,,,,50.200000000000003,3.295806884765625,
,,,,,,50.299999999999997,3.2728118896484375,
,,,,,,50.399999999999999,3.2651519775390625,
,,,,,,50.5,3.2677001953125,
,,,,,,50.600000000000001,3.2753677368164062,
,,,,,,50.700000000000003,3.2804794311523438,
,,,,,,50.799999999999997,3.2830352783203125,
,,,,,,50.899999999999999,3.2651519775390625,
,,,,,,51,3.2344894409179688,
,,,,,,51.100000000000001,3.2114944458007812,
,,,,,,51.200000000000003,3.1961669921875,
,,,,,,51.299999999999997,3.1961669921875,
,,,,,,51.399999999999999,3.1961669921875,
,,,,,,51.5,3.1936111450195312,
,,,,,,51.600000000000001,3.2012710571289062,
,,,,,,51.700000000000003,3.2114944458007812,
,,,,,,51.799999999999997,3.2191619873046875,
,,,,,,51.899999999999999,3.2012710571289062,
,,,,,,52,3.1884994506835938,
,,,,,,52.100000000000001,3.221710205078125,
,,,,,,52.200000000000003,3.3034744262695312,
,,,,,,52.299999999999997,3.3852310180664062,
,,,,,,52.399999999999999,3.4210052490234375,
,,,,,,52.5,3.4542160034179688,
,,,,,,52.600000000000001,3.50787353515625,
,,,,,,52.700000000000003,3.5691909790039062,
,,,,,,52.799999999999997,3.6407318115234375,
,,,,,,52.899999999999999,3.7122726440429688,
,,,,,,53,3.7506027221679688,
,,,,,,53.100000000000001,3.76593017578125,
,,,,,,53.200000000000003,3.7684860229492188,
,,,,,,53.299999999999997,3.7531509399414062,
,,,,,,53.399999999999999,3.7173843383789062,
,,,,,,53.5,3.6586227416992188,
,,,,,,53.600000000000001,3.5921859741210938,
,,,,,,53.700000000000003,3.5308685302734375,
,,,,,,53.799999999999997,3.4695510864257812,
,,,,,,53.899999999999999,3.4235610961914062,
,,,,,,54,3.3928985595703125,
,,,,,,54.100000000000001,3.3622360229492188,
,,,,,,54.200000000000003,3.3366851806640625,
,,,,,,54.299999999999997,3.3188018798828125,
,,,,,,54.399999999999999,3.3009185791015625,
,,,,,,54.5,3.28814697265625,
